Open,High,Low,Close,Volume,Dividends,Stock Splits
5633.568171514805,5660.523043148847,5615.5982570921105,5651.5380859375,58420500,0.0,0.0
5660.522958868577,5682.9853515625,5638.060566174654,5682.9853515625,42080500,0.0,0.0
5705.447724726096,5732.402595866534,5624.583111304781,5638.060546875,43794500,0.0,0.0
5705.447172728725,5714.43212890625,5633.56752330852,5714.43212890625,66161500,0.0,0.0
5732.402405803216,5732.402405803216,5656.0302734375,5656.0302734375,63393000,0.0,0.0
5691.9701946443665,5691.9701946443665,5615.598061014569,5647.04541015625,61972000,0.0,0.0
5674.001064422024,5674.001064422024,5615.598836522193,5642.5537109375,90040500,0.0,0.0
5691.970100433131,5696.4625788075855,5629.075403190776,5656.0302734375,70207000,0.0,0.0
5588.643376209597,5642.553119388467,5588.643376209597,5629.07568359375,47635500,0.0,0.0
5629.076273729846,5647.046190006718,5629.076273729846,5642.5537109375,40083500,0.0,0.0
5629.075392727646,5642.552827825957,5579.658130700508,5633.56787109375,37862000,0.0,0.0
5642.553025398406,5651.537982445219,5620.090632781375,5638.060546875,47138000,0.0,0.0
5611.106357452975,5647.046190006718,5579.6590039684515,5642.5537109375,65599000,0.0,0.0
5687.477434679336,5705.4473475851155,5660.522565320665,5674.0,60115000,0.0,0.0
5620.089699572465,5705.44677734375,5620.089699572465,5705.44677734375,43229500,0.0,0.0
5705.446750217014,5705.446750217014,5660.52197265625,5660.52197265625,57523500,0.0,0.0
5642.552258871927,5669.507126350614,5633.567303045697,5665.0146484375,56035000,0.0,0.0
5687.47781063247,5691.970289155876,5638.060546875,5638.060546875,55133500,0.0,0.0
5687.477716195555,5687.477716195555,5633.5679748098155,5647.04541015625,192783500,0.0,0.0
5633.567106119792,5660.52197265625,5606.612239583334,5660.52197265625,58833500,0.0,0.0
5656.0309429687495,5656.0309429687495,5611.106153906249,5615.5986328125,44248000,0.0,0.0
5597.628920245323,5656.031148145153,5593.136441176104,5642.5537109375,52954500,0.0,0.0
5642.552605179962,5772.83447265625,5633.567648802286,5772.83447265625,49909000,0.0,0.0
5768.3424632352935,5768.3424632352935,5700.95528492647,5727.91015625,42823000,0.0,0.0
5714.432326443441,5750.372152395915,5709.939848199381,5718.9248046875,37552000,0.0,0.0
5714.432805106467,5736.895198208301,5687.477933384267,5696.462890625,54168000,0.0,0.0
5714.4893425649925,5764.06298828125,5696.462562304535,5764.06298828125,69920500,20.0,0.0
5741.529512955678,5764.06298828125,5732.51612282545,5764.06298828125,51667500,0.0,0.0
5764.063120228422,5768.569815396701,5732.516254050472,5737.02294921875,57654000,0.0,0.0
5737.022396267021,5755.049175202659,5723.502312065291,5750.54248046875,48469000,0.0,0.0
5768.569597791798,5773.076292790073,5714.4892578125,5714.4892578125,79198500,0.0,0.0
5764.06346965286,5786.596946860259,5723.50321067954,5732.5166015625,70822500,0.0,0.0
5714.4898197965795,5764.06346965286,5714.4898197965795,5732.5166015625,78684000,0.0,0.0
5764.063016451322,5858.70361328125,5737.022845928485,5858.70361328125,102914500,0.0,0.0
5858.703477747964,6129.105176720947,5804.623137953367,6088.544921875,181804000,0.0,0.0
6038.972293738163,6056.999076704546,5939.824987423059,5948.83837890625,74171000,0.0,0.0
6020.944749436937,6075.025091497748,5957.851017032657,6002.91796875,99453000,0.0,0.0
6020.944749436937,6066.011701154279,5993.904578406531,6002.91796875,46558500,0.0,0.0
6002.917556488585,6061.504589697558,6002.917556488585,6020.9443359375,38188500,0.0,0.0
6011.930881400533,6038.971050282394,6011.930881400533,6034.46435546875,29945000,0.0,0.0
6020.943501075168,6056.997054973822,6011.930112600505,6025.4501953125,61168000,0.0,0.0
6034.464702885603,6111.078519128363,6020.944617666293,6029.9580078125,49445000,0.0,0.0
6084.038516773897,6129.10546875,6061.505040785846,6129.10546875,47755500,0.0,0.0
6056.997981625835,6084.038151186664,6029.957812065005,6070.51806640625,27300000,0.0,0.0
6070.518207312338,6102.065072532223,6066.011512280925,6075.02490234375,45022500,0.0,0.0
6011.930946213043,6079.531369146473,6011.930946213043,6020.9443359375,53692500,0.0,0.0
6075.02490234375,6088.5449874379865,6066.011512280925,6075.02490234375,40363500,0.0,0.0
6097.557952268239,6151.638288873723,6047.984310379879,6061.50439453125,73362000,0.0,0.0
6075.024555226094,6093.05133432172,6070.517860452187,6079.53125,67855000,0.0,0.0
6079.531838496179,6205.719304380458,6075.025143286026,6192.19921875,93582000,0.0,0.0
6192.199210177396,6363.453627926116,6129.105477322604,6160.65234375,75623500,0.0,0.0
6133.612106880132,6210.225924526688,6124.598716568773,6174.17236328125,88931500,0.0,0.0
6165.158701704545,6210.225651278409,6129.105142045454,6196.70556640625,38249500,0.0,0.0
6264.306333440015,6286.839809459583,6156.145648546087,6160.65234375,93554500,0.0,0.0
6205.718661709027,6214.732051195896,6151.638324787816,6156.14501953125,103984500,0.0,0.0
6178.678776255825,6214.732335854692,6160.651996456391,6165.15869140625,94311500,0.0,0.0
6205.718945954975,6214.732335854692,6156.145301506533,6165.15869140625,87728000,0.0,0.0
6147.132042435297,6201.212382984581,6138.11865234375,6138.11865234375,69653500,0.0,0.0
6187.692166155542,6255.292590403417,6142.6252166569575,6165.15869140625,39679000,0.0,0.0
6160.652051788015,6169.665441768686,6088.544931942655,6120.091796875,82615000,0.0,0.0
6129.104556236183,6169.664806975981,6102.064389076318,6115.58447265625,43821000,0.0,0.0
6169.665498003407,6169.665498003407,6066.011512280925,6075.02490234375,71990000,0.0,0.0
6129.105239679784,6133.611934708961,5840.6767578125,5840.6767578125,163136500,0.0,0.0
