title,category,publish_date,article_url
Akhir Pekan IHSG Ditutup Betah di Zona Hijau,detikFinance,"Jumat, 06 Sep 2024 16:30 WIB",https://finance.detik.com/bursa-dan-valas/d-7528301/akhir-pekan-ihsg-ditutup-betah-di-zona-hijau
"Masih Lesu, IHSG Dibuka Turun ke Level 7.591",detikFinance,"Rabu, 28 Agu 2024 09:29 WIB",https://finance.detik.com/bursa-dan-valas/d-7512268/masih-lesu-ihsg-dibuka-turun-ke-level-7-591
IHSG Pagi Ini Dibuka Lesu ke Level 7.592,detikFinance,"Selasa, 27 Agu 2024 09:22 WIB",https://finance.detik.com/bursa-dan-valas/d-7510459/ihsg-pagi-ini-dibuka-lesu-ke-level-7-592
IHSG Awal Pekan Melesat ke Level 7.604,detikFinance,"Senin, 26 Agu 2024 09:27 WIB",https://finance.detik.com/bursa-dan-valas/d-7508538/ihsg-awal-pekan-melesat-ke-level-7-604
"Kemarin Lesu Seharian, IHSG Kembali ke Zona Hijau di Level 7.500-an",detikFinance,"Jumat, 23 Agu 2024 09:27 WIB",https://finance.detik.com/bursa-dan-valas/d-7504247/kemarin-lesu-seharian-ihsg-kembali-ke-zona-hijau-di-level-7-500-an
IHSG Hari Ini Diprediksi Melemah Dibayangi Tensi Politik Jelang Pilkada,detikFinance,"Jumat, 23 Agu 2024 08:52 WIB",https://finance.detik.com/market-research/d-7504223/ihsg-hari-ini-diprediksi-melemah-dibayangi-tensi-politik-jelang-pilkada
"IHSG Dibuka Lesu, Turun ke Level 7.400-an",detikFinance,"Kamis, 22 Agu 2024 09:39 WIB",https://finance.detik.com/bursa-dan-valas/d-7502347/ihsg-dibuka-lesu-turun-ke-level-7-400-an
"IHSG Seharian di Zona Hijau, Ditutup Menguat ke 7.554",detikFinance,"Rabu, 21 Agu 2024 16:44 WIB",https://finance.detik.com/bursa-dan-valas/d-7501488/ihsg-seharian-di-zona-hijau-ditutup-menguat-ke-7-554
"IHSG Dibuka Naik 0,35% ke Level 7.382",detikFinance,"Rabu, 14 Agu 2024 09:15 WIB",https://finance.detik.com/bursa-dan-valas/d-7488806/ihsg-dibuka-naik-0-35-ke-level-7-382
"Usia Anjlok, IHSG Pagi Ini Naik 0,87% ke Level 7.120",detikFinance,"Selasa, 06 Agu 2024 09:15 WIB",https://finance.detik.com/bursa-dan-valas/d-7475446/usia-anjlok-ihsg-pagi-ini-naik-0-87-ke-level-7-120
"Cetak Kinerja Positif Sepanjang 2023, BRI Life Terima 4 Penghargaan",detikFinance,"Jumat, 02 Agu 2024 13:01 WIB",https://finance.detik.com/moneter/d-7469991/cetak-kinerja-positif-sepanjang-2023-bri-life-terima-4-penghargaan
IHSG Pagi Ini Dibuka Naik ke Level 7.279,detikFinance,"Kamis, 01 Agu 2024 09:09 WIB",https://finance.detik.com/bursa-dan-valas/d-7467703/ihsg-pagi-ini-dibuka-naik-ke-level-7-279
"IHSG Dibuka Menguat di Awal Pekan, Begini Pergerakannya",detikFinance,"Senin, 29 Jul 2024 09:13 WIB",https://finance.detik.com/bursa-dan-valas/d-7462035/ihsg-dibuka-menguat-di-awal-pekan-begini-pergerakannya
"Daftar Saham LQ45 Terbaru: Emiten Sandiaga Uno Keluar, Jasa Marga Masuk",detikFinance,"Jumat, 26 Jul 2024 13:30 WIB",https://finance.detik.com/bursa-dan-valas/d-7458314/daftar-saham-lq45-terbaru-emiten-sandiaga-uno-keluar-jasa-marga-masuk
"IHSG Seharian di Zona Merah, Ditutup Loyo ke 7.240",detikFinance,"Kamis, 25 Jul 2024 16:35 WIB",https://finance.detik.com/bursa-dan-valas/d-7457049/ihsg-seharian-di-zona-merah-ditutup-loyo-ke-7-240
IHSG Hari Ini Dibuka Melemah ke 7.215,detikFinance,"Kamis, 25 Jul 2024 09:22 WIB",https://finance.detik.com/bursa-dan-valas/d-7456027/ihsg-hari-ini-dibuka-melemah-ke-7-215
"IHSG Hari Ini Diperkirakan Menguat, Cek Rekomendasi Saham di Sini!",detikFinance,"Selasa, 23 Jul 2024 08:38 WIB",https://finance.detik.com/market-research/d-7452333/ihsg-hari-ini-diperkirakan-menguat-cek-rekomendasi-saham-di-sini
IHSG Awal Pekan Dibuka di Zona Hijau,detikFinance,"Senin, 22 Jul 2024 09:36 WIB",https://finance.detik.com/bursa-dan-valas/d-7450530/ihsg-awal-pekan-dibuka-di-zona-hijau
Akhir Pekan IHSG Dibuka Lesu,detikFinance,"Jumat, 19 Jul 2024 09:19 WIB",https://finance.detik.com/bursa-dan-valas/d-7446308/akhir-pekan-ihsg-dibuka-lesu
IHSG Pagi Ini Dibuka di Zona Hijau ke Level 7.277,detikFinance,"Rabu, 10 Jul 2024 09:21 WIB",https://finance.detik.com/bursa-dan-valas/d-7431463/ihsg-pagi-ini-dibuka-di-zona-hijau-ke-level-7-277
"Pasar Optimis, IHSG Masih Betah di Zona Hijau",detikFinance,"Jumat, 21 Jun 2024 09:24 WIB",https://finance.detik.com/bursa-dan-valas/d-7400878/pasar-optimis-ihsg-masih-betah-di-zona-hijau
IHSG Dibuka di Zona Hijau,detikFinance,"Kamis, 20 Jun 2024 09:31 WIB",https://finance.detik.com/bursa-dan-valas/d-7399151/ihsg-dibuka-di-zona-hijau
"Usai Libur Panjang, IHSG Hari Ini Diprediksi Melemah",detikFinance,"Rabu, 19 Jun 2024 08:45 WIB",https://finance.detik.com/bursa-dan-valas/d-7396986/usai-libur-panjang-ihsg-hari-ini-diprediksi-melemah
Top! Jumlah Investor BBRI Naik Signifikan dalam 4 Bulan Terakhir,detikFinance,"Kamis, 13 Jun 2024 17:07 WIB",https://finance.detik.com/bursa-dan-valas/d-7389609/top-jumlah-investor-bbri-naik-signifikan-dalam-4-bulan-terakhir
"Tembus Setengah Juta, BRI Duduki Peringkat 1 Investor Terbanyak di Bursa",detikFinance,"Kamis, 13 Jun 2024 16:34 WIB",https://finance.detik.com/bursa-dan-valas/d-7389465/tembus-setengah-juta-bri-duduki-peringkat-1-investor-terbanyak-di-bursa
"Ada 'Diskon' Harga Saham, Jumlah Investor BBRI Tembus Setengah Juta",detikFinance,"Kamis, 13 Jun 2024 16:18 WIB",https://finance.detik.com/bursa-dan-valas/d-7389445/ada-diskon-harga-saham-jumlah-investor-bbri-tembus-setengah-juta
"IHSG Dibuka di Zona Hijau, Diramal Mantul Hari Ini",detikFinance,"Kamis, 13 Jun 2024 09:11 WIB",https://finance.detik.com/bursa-dan-valas/d-7388556/ihsg-dibuka-di-zona-hijau-diramal-mantul-hari-ini
"Kinerja BRI Positif, Analis Sarankan Beli Saham BBRI",detikFinance,"Rabu, 12 Jun 2024 17:45 WIB",https://finance.detik.com/bursa-dan-valas/d-7387819/kinerja-bri-positif-analis-sarankan-beli-saham-bbri
"Direksi Borong Saham BBRI, BRI: Untuk Investasi",detikFinance,"Rabu, 12 Jun 2024 17:35 WIB",https://finance.detik.com/bursa-dan-valas/d-7387785/direksi-borong-saham-bbri-bri-untuk-investasi
"3 Direktur BRI Kompak Borong Saham BBRI, Ada Apa?",detikFinance,"Rabu, 12 Jun 2024 17:04 WIB",https://finance.detik.com/bursa-dan-valas/d-7387740/3-direktur-bri-kompak-borong-saham-bbri-ada-apa
IHSG Rabu Pagi Bergerak ke Zona Merah di Level 6.851,detikFinance,"Rabu, 12 Jun 2024 09:15 WIB",https://finance.detik.com/bursa-dan-valas/d-7386716/ihsg-rabu-pagi-bergerak-ke-zona-merah-di-level-6-851
IHSG Pagi Ini Bergerak ke Zona Merah di Level 6.907,detikFinance,"Selasa, 11 Jun 2024 09:12 WIB",https://finance.detik.com/bursa-dan-valas/d-7384784/ihsg-pagi-ini-bergerak-ke-zona-merah-di-level-6-907
Awal Pekan IHSG Dibuka ke Level 6.897,detikFinance,"Senin, 10 Jun 2024 09:08 WIB",https://finance.detik.com/bursa-dan-valas/d-7382861/awal-pekan-ihsg-dibuka-ke-level-6-897
"IHSG Dibuka di Zona Hijau ke Level 6.978, Naik 0,05%",detikFinance,"Jumat, 07 Jun 2024 09:09 WIB",https://finance.detik.com/bursa-dan-valas/d-7378715/ihsg-dibuka-di-zona-hijau-ke-level-6-978-naik-0-05
"IHSG Awal Pekan Bikin Happy, Begini Pergerakannya",detikFinance,"Senin, 03 Jun 2024 09:10 WIB",https://finance.detik.com/bursa-dan-valas/d-7370861/ihsg-awal-pekan-bikin-happy-begini-pergerakannya
"Fokus Segmen UMKM dan Ultra Mikro, Analis Rekomendasikan Saham BBRI",detikFinance,"Kamis, 30 Mei  2024 10:10 WIB",https://finance.detik.com/bursa-dan-valas/d-7364737/fokus-segmen-umkm-dan-ultra-mikro-analis-rekomendasikan-saham-bbri
Awal Pekan IHSG Dibuka di Zona Hijau,detikFinance,"Senin, 27 Mei  2024 09:17 WIB",https://finance.detik.com/bursa-dan-valas/d-7359044/awal-pekan-ihsg-dibuka-di-zona-hijau
"Rabu Pagi IHSG Dibuka ke Level 7.083, Market Cap Tembus Rp 12 Ribu Triliun",detikFinance,"Rabu, 15 Mei  2024 09:16 WIB",https://finance.detik.com/bursa-dan-valas/d-7340591/rabu-pagi-ihsg-dibuka-ke-level-7-083-market-cap-tembus-rp-12-ribu-triliun
IHSG Selasa Pagi Dibuka ke Level 7.099,detikFinance,"Selasa, 14 Mei  2024 09:15 WIB",https://finance.detik.com/bursa-dan-valas/d-7338715/ihsg-selasa-pagi-dibuka-ke-level-7-099
Awal Pekan IHSG Bergerak di Zona Merah ke 7.069,detikFinance,"Senin, 13 Mei  2024 09:19 WIB",https://finance.detik.com/bursa-dan-valas/d-7336774/awal-pekan-ihsg-bergerak-di-zona-merah-ke-7-069
Top! BRI Masuk '20 Top Companies to Watch in 2024',detikFinance,"Sabtu, 11 Mei  2024 12:16 WIB",https://finance.detik.com/moneter/d-7334773/top-bri-masuk-20-top-companies-to-watch-in-2024
"BRI Cuan Rp 15,98 Triliun di Triwulan I, Saham BBRI Makin Seksi",detikFinance,"Minggu, 05 Mei  2024 19:32 WIB",https://finance.detik.com/bursa-dan-valas/d-7326106/bri-cuan-rp-15-98-triliun-di-triwulan-i-saham-bbri-makin-seksi
"BRI Buyback Saham, Beri Sinyal Kondisi Lebih Baik dari Persepsi Market",detikFinance,"Kamis, 02 Mei  2024 09:24 WIB",https://finance.detik.com/bursa-dan-valas/d-7320484/bri-buyback-saham-beri-sinyal-kondisi-lebih-baik-dari-persepsi-market
"Terus Melonjak, Harga Saham BRI (BBRI) Rp 5.025 per Unit",detikFinance,"Selasa, 30 Apr 2024 14:02 WIB",https://finance.detik.com/bursa-dan-valas/d-7317926/terus-melonjak-harga-saham-bri-bbri-rp-5-025-per-unit
"IHSG Ngegas, Dibuka di Zona Hijau!",detikFinance,"Selasa, 30 Apr 2024 09:20 WIB",https://finance.detik.com/bursa-dan-valas/d-7317324/ihsg-ngegas-dibuka-di-zona-hijau
