title,category,publish_date,article_url
IHSG Hari Ini Dibuka Melemah ke 7.215,detikFinance,"Kamis, 25 Jul 2024 09:22 WIB",https://finance.detik.com/bursa-dan-valas/d-7456027/ihsg-hari-ini-dibuka-melemah-ke-7-215
IHSG dan Bursa Asia Kompak di Zona Merah,detikFinance,"Rabu, 24 Jul 2024 09:22 WIB",https://finance.detik.com/bursa-dan-valas/d-7454225/ihsg-dan-bursa-asia-kompak-di-zona-merah
24 Nasabah Jadi Pemenang Bulanan Kompetisi Trading Saham BNI Sekuritas,detikFinance,"Kamis, 18 Jul 2024 16:00 WIB",https://finance.detik.com/bursa-dan-valas/d-7444972/24-nasabah-jadi-pemenang-bulanan-kompetisi-trading-saham-bni-sekuritas
BNI Buka Kantor Cabang di Sydney Australia Tahun Ini,detikFinance,"Senin, 08 Jul 2024 12:08 WIB",https://finance.detik.com/moneter/d-7428154/bni-buka-kantor-cabang-di-sydney-australia-tahun-ini
Terungkap! Rencana Kerja Sama BNI-Sea Grup Lewat Shopee Paylater,detikFinance,"Jumat, 05 Jul 2024 18:09 WIB",https://finance.detik.com/moneter/d-7424924/terungkap-rencana-kerja-sama-bni-sea-grup-lewat-shopee-paylater
"Pasar Optimis, IHSG Masih Betah di Zona Hijau",detikFinance,"Jumat, 21 Jun 2024 09:24 WIB",https://finance.detik.com/bursa-dan-valas/d-7400878/pasar-optimis-ihsg-masih-betah-di-zona-hijau
"Usai Libur Panjang, IHSG Hari Ini Diprediksi Melemah",detikFinance,"Rabu, 19 Jun 2024 08:45 WIB",https://finance.detik.com/bursa-dan-valas/d-7396986/usai-libur-panjang-ihsg-hari-ini-diprediksi-melemah
Top! Jumlah Investor BBRI Naik Signifikan dalam 4 Bulan Terakhir,detikFinance,"Kamis, 13 Jun 2024 17:07 WIB",https://finance.detik.com/bursa-dan-valas/d-7389609/top-jumlah-investor-bbri-naik-signifikan-dalam-4-bulan-terakhir
"Ada 'Diskon' Harga Saham, Jumlah Investor BBRI Tembus Setengah Juta",detikFinance,"Kamis, 13 Jun 2024 16:18 WIB",https://finance.detik.com/bursa-dan-valas/d-7389445/ada-diskon-harga-saham-jumlah-investor-bbri-tembus-setengah-juta
"IHSG Dibuka di Zona Hijau, Diramal Mantul Hari Ini",detikFinance,"Kamis, 13 Jun 2024 09:11 WIB",https://finance.detik.com/bursa-dan-valas/d-7388556/ihsg-dibuka-di-zona-hijau-diramal-mantul-hari-ini
IHSG Rabu Pagi Bergerak ke Zona Merah di Level 6.851,detikFinance,"Rabu, 12 Jun 2024 09:15 WIB",https://finance.detik.com/bursa-dan-valas/d-7386716/ihsg-rabu-pagi-bergerak-ke-zona-merah-di-level-6-851
IHSG Pagi Ini Bergerak ke Zona Merah di Level 6.907,detikFinance,"Selasa, 11 Jun 2024 09:12 WIB",https://finance.detik.com/bursa-dan-valas/d-7384784/ihsg-pagi-ini-bergerak-ke-zona-merah-di-level-6-907
