title,category,publish_date,article_url
Awal Pekan IHSG Dibuka di Zona Hijau,detikFinance,"Senin, 24 Jun 2024 09:21 WIB",https://finance.detik.com/bursa-dan-valas/d-7405202/awal-pekan-ihsg-dibuka-di-zona-hijau
Usai Libur Panjang IHSG Hari Ini Diprediksi Melemah,detikFinance,"Rabu, 19 Jun 2024 08:45 WIB",https://finance.detik.com/bursa-dan-valas/d-7396986/usai-libur-panjang-ihsg-hari-ini-diprediksi-melemah
Top! Jumlah Investor BBRI Naik Signifikan dalam 4 Bulan Terakhir,detikFinance,"Kamis, 13 Jun 2024 17:07 WIB",https://finance.detik.com/bursa-dan-valas/d-7389609/top-jumlah-investor-bbri-naik-signifikan-dalam-4-bulan-terakhir
Ada 'Diskon' Harga Saham Jumlah Investor BBRI Tembus Setengah Juta,detikFinance,"Kamis, 13 Jun 2024 16:18 WIB",https://finance.detik.com/bursa-dan-valas/d-7389445/ada-diskon-harga-saham-jumlah-investor-bbri-tembus-setengah-juta
IHSG Dibuka di Zona Hijau Diramal Mantul Hari Ini,detikFinance,"Kamis, 13 Jun 2024 09:11 WIB",https://finance.detik.com/bursa-dan-valas/d-7388556/ihsg-dibuka-di-zona-hijau-diramal-mantul-hari-ini
IHSG Rabu Pagi Bergerak ke Zona Merah di Level 6.851,detikFinance,"Rabu, 12 Jun 2024 09:15 WIB",https://finance.detik.com/bursa-dan-valas/d-7386716/ihsg-rabu-pagi-bergerak-ke-zona-merah-di-level-6-851
Awal Pekan IHSG Dibuka ke Level 6.897,detikFinance,"Senin, 10 Jun 2024 09:08 WIB",https://finance.detik.com/bursa-dan-valas/d-7382861/awal-pekan-ihsg-dibuka-ke-level-6-897
IHSG Ditutup Melemah Tinggalkan Level 7.000!,detikFinance,"Rabu, 05 Jun 2024 16:45 WIB",https://finance.detik.com/bursa-dan-valas/d-7375780/ihsg-ditutup-melemah-tinggalkan-level-7-000
IHSG Dibuka Menguat tapi Tak Lama Melempem ke Zona Merah,detikFinance,"Rabu, 05 Jun 2024 09:18 WIB",https://finance.detik.com/bursa-dan-valas/d-7374726/ihsg-dibuka-menguat-tapi-tak-lama-melempem-ke-zona-merah
Obligasi Pemerintah Disebut Investasi Paling Aman Ini Alasannya,detikFinance,"Kamis, 30 Mei  2024 10:31 WIB",https://finance.detik.com/berita-ekonomi-bisnis/d-7364778/obligasi-pemerintah-disebut-investasi-paling-aman-ini-alasannya
IHSG Selasa Pagi Dibuka ke Level 7.099,detikFinance,"Selasa, 14 Mei  2024 09:15 WIB",https://finance.detik.com/bursa-dan-valas/d-7338715/ihsg-selasa-pagi-dibuka-ke-level-7-099
Awal Pekan IHSG Bergerak di Zona Merah ke 7.069,detikFinance,"Senin, 13 Mei  2024 09:19 WIB",https://finance.detik.com/bursa-dan-valas/d-7336774/awal-pekan-ihsg-bergerak-di-zona-merah-ke-7-069
Akhir Pekan IHSG Masih Betah di Zona Merah,detikFinance,"Jumat, 26 Apr 2024 09:13 WIB",https://finance.detik.com/bursa-dan-valas/d-7311311/akhir-pekan-ihsg-masih-betah-di-zona-merah
Kompak Dengan Bursa Asia IHSG Mengawali Pekan Dengan Penguatan,detikFinance,"Senin, 22 Apr 2024 09:17 WIB",https://finance.detik.com/bursa-dan-valas/d-7303730/kompak-dengan-bursa-asia-ihsg-mengawali-pekan-dengan-penguatan
Jelang Akhir Pekan IHSG Dibuka Turun ke Level 7.166,detikFinance,"Jumat, 19 Apr 2024 09:10 WIB",https://finance.detik.com/bursa-dan-valas/d-7299479/jelang-akhir-pekan-ihsg-dibuka-turun-ke-level-7-166
IHSG Pagi Ini Dibuka di Level 7.166,detikFinance,"Kamis, 04 Apr 2024 09:08 WIB",https://finance.detik.com/bursa-dan-valas/d-7277498/ihsg-pagi-ini-dibuka-di-level-7-166
Alhamdulillah IHSG Hari Ini di Zona Hijau!,detikFinance,"Rabu, 27 Mar 2024 09:23 WIB",https://finance.detik.com/bursa-dan-valas/d-7263649/alhamdulillah-ihsg-hari-ini-di-zona-hijau
Duh IHSG Masih Loyo Terus Nih,detikFinance,"Selasa, 26 Mar 2024 09:12 WIB",https://finance.detik.com/bursa-dan-valas/d-7261675/duh-ihsg-masih-loyo-terus-nih
IHSG Diprediksi Terkoreksi di 7.280-7.338 Analis Rekomendasi Saham Ini,detikFinance,"Selasa, 19 Mar 2024 08:20 WIB",https://finance.detik.com/bursa-dan-valas/d-7249092/ihsg-diprediksi-terkoreksi-di-7-280-7-338-analis-rekomendasi-saham-ini
IHSG Kembali Dibuka Menguat ke 7.341 Menguat 015%,detikFinance,"Kamis, 07 Mar 2024 09:13 WIB",https://finance.detik.com/bursa-dan-valas/d-7229359/ihsg-kembali-dibuka-menguat-ke-7-341-menguat-0-15
Simak! Saham Pilihan buat Akhir Pekan,detikFinance,"Jumat, 01 Mar 2024 09:02 WIB",https://finance.detik.com/bursa-dan-valas/d-7219381/simak-saham-pilihan-buat-akhir-pekan
Daftar 6 Bank dengan Aset Terbesar RI BSI Balap CIMB Niaga,detikFinance,"Jumat, 23 Feb 2024 14:11 WIB",https://finance.detik.com/moneter/d-7208042/daftar-6-bank-dengan-aset-terbesar-ri-bsi-balap-cimb-niaga
Analis Pasar Modal Prediksi Saham BRIS Bisa Tembus Rp 2.700,detikFinance,"Kamis, 22 Feb 2024 12:41 WIB",https://finance.detik.com/bursa-dan-valas/d-7206021/analis-pasar-modal-prediksi-saham-bris-bisa-tembus-rp-2-700
Pajak 100 Orang Terkaya RI Mau 'Dipelototi' Anies Ini Daftar Namanya,detikFinance,"Kamis, 28 Des 2023 07:30 WIB",https://finance.detik.com/berita-ekonomi-bisnis/d-7111994/pajak-100-orang-terkaya-ri-mau-dipelototi-anies-ini-daftar-namanya
